PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Luis Garcia-Arroyo, Jose; Garcia-Zapirain, Begonya								Recognition of pigment network pattern in dermoscopy images based on fuzzy classification of pixels								COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE				153				61	69		10.1016/j.cmpb.2017.10.005			JAN 2018	2018										0							WOS:000416507300008		
J	Welden, N. A.; Wolseley, P. A.; Ashmore, M. R.								Citizen science identifies the effects of nitrogen deposition, climate and tree species on epiphytic lichens across the UK								ENVIRONMENTAL POLLUTION				232				80	89		10.1016/j.envpol.2017.09.020			JAN 2018	2018										0							WOS:000414881300008		
J	Moudra, Lucie; Zasadil, Petr; Moudry, Vitezslav; Salek, Miroslav								What makes new housing development unsuitable for house sparrows (Passer domesticus)?								LANDSCAPE AND URBAN PLANNING				169				124	130		10.1016/j.landurbplan.2017.08.017			JAN 2018	2018										0							WOS:000414882300012		
J	Sparks, T. H.; Atkinson, S.; Lewthwaite, K.; Dhap, R.; Moran, N. J.; Tryjanowski, P.								Can bird abundance declines be detected by citizen science programmes? A case study using Common Cuckoo Cuculus canorus								AVIAN BIOLOGY RESEARCH				10	4			241	245		10.3184/175815617X15036738758862			DEC 2017	2017										0							WOS:000423603700005		
J	Gosler, Andrew G.								THE HUMAN FACTOR: ECOLOGICAL SALIENCE IN ORNITHOLOGY AND ETHNO-ORNITHOLOGY								JOURNAL OF ETHNOBIOLOGY				37	4			637	662					DEC 2017	2017										0							WOS:000418291500004		
J	Dennis, Emily B.; Morgan, Byron J. T.; Brereton, Tom M.; Roy, David B.; Fox, Richard								Using citizen science butterfly counts to predict species population trends								CONSERVATION BIOLOGY				31	6			1350	1361		10.1111/cobi.12956			DEC 2017	2017										0							WOS:000417183900014		
J	Novoa, Ana; Dehnen-Schmutz, Katharina; Fried, Jana; Vimercati, Giovanni								Does public awareness increase support for invasive species management? Promising evidence across taxa and landscape types								BIOLOGICAL INVASIONS				19	12			3691	3705		10.1007/s10530-017-1592-0			DEC 2017	2017						Workshop on Non-Native Species in Urban Environments - Patterns, Processes, Impacts and Challenges	NOV, 2016		DST NRF Ctr Excellence Invas Biol, Stellenbosch, SOUTH AFRICA	2							WOS:000415814600017		
J	Jordan, Hannah; Cigna, Francesca; Bateson, Luke								Identifying natural and anthropogenically-induced geohazards from satellite ground motion and geospatial data: Stoke-on-Trent, UK								INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION				63				90	103		10.1016/j.jag.2017.07.003			DEC 2017	2017										0							WOS:000411848500009		
J	Newson, Stuart E.; Evans, Hazel E.; Gillings, Simon; Jarrett, David; Raynor, Robert; Wilson, Mark W.								Large-scale citizen science improves assessment of risk posed by wind farms to bats in southern Scotland								BIOLOGICAL CONSERVATION				215				61	71		10.1016/j.biocon.2017.09.004			NOV 2017	2017										0							WOS:000414883000008		
J	Massimino, Dario; Johnston, Alison; Gillings, Simon; Jiguet, Frederic; Pearce-Higgins, James W.								Projected reductions in climatic suitability for vulnerable British birds								CLIMATIC CHANGE				145	1-2			117	130		10.1007/s10584-017-2081-2			NOV 2017	2017										0							WOS:000415031800009		
