Scopus search,,,,,,
"search terms: TITLE-ABS-KEY ((""biological record*"" OR ""citizen science"" OR (atlas AND species) OR gbif OR ""Global Biodiversity Information Facility"" OR eBird OR ""National Biodiversity Data Centre"" OR ""NBN"" OR ""National Biodiversity Network"" OR ""Centre for Environmental Data and Recording"") AND (""Great Britain"" OR Ireland OR Scotland OR Wales OR ""Northern Ireland"" OR ""British Isles"" OR UK OR ""United Kingdom"") AND NOT (cancer OR disease OR palliative OR ""cross-sectional"" OR ""cross sectional"" OR ""New South Wales"" OR Pyle OR marmoset))",,,,,,
15 June 2018,,,,,,
,,,,,,
author,title,year,Source title,doi,link,search_venue
"Smith, S., Young, T., Skydmore, D.",Effectiveness of the field identification of individual natterjack toads (Epidalea calamita) using comparisons of dorsal features through citizen science,2018,Herpetological Journal,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047446014&partnerID=40&md5=2538870c3fb3af431fd6b97359f3407a,Scopus
"Welden, N.A., Wolseley, P.A., Ashmore, M.R.","Citizen science identifies the effects of nitrogen deposition, climate and tree species on epiphytic lichens across the UK",2018,Environmental Pollution,10.1016/j.envpol.2017.09.020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030027263&doi=10.1016%2fj.envpol.2017.09.020&partnerID=40&md5=389cbbc23e1bfbab648ccb43c2aac942,Scopus
"Klepac, P., Kissler, S., Gog, J.",Contagion! The BBC Four Pandemic – The model behind the documentary,2018,Epidemics,10.1016/j.epidem.2018.03.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044285314&doi=10.1016%2fj.epidem.2018.03.003&partnerID=40&md5=d084f1eb2d5e9e90d089aeb0957f3ec0,Scopus
"Austen, G.E., Bindemann, M., Griffiths, R.A., Roberts, D.L.",Species identification by conservation practitioners using online images: Accuracy and agreement between experts,2018,PeerJ,10.7717/peerj.4157,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040997163&doi=10.7717%2fpeerj.4157&partnerID=40&md5=5a71ad1a83fe3b363b087c7b47494c5a,Scopus
"Storrie, L., Lydersen, C., Andersen, M., Wynn, R.B., Kovacs, K.M.","Determining the species assemblage and habitat use of cetaceans in the Svalbard Archipelago, based on observations from 2002 to 2014",2018,Polar Research,10.1080/17518369.2018.1463065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047984835&doi=10.1080%2f17518369.2018.1463065&partnerID=40&md5=322d5089870985bd7c9c91569813f214,Scopus
"Dhillon, C.M.",Using citizen science in environmental justice: participation and decision-making in a Southern California waste facility siting conflict,2017,Local Environment,10.1080/13549839.2017.1360263,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026851690&doi=10.1080%2f13549839.2017.1360263&partnerID=40&md5=004dbb128b7f20c3af9237f2d4ecc249,Scopus
"Dennis, E.B., Morgan, B.J.T., Brereton, T.M., Roy, D.B., Fox, R.",Using citizen science butterfly counts to predict species population trends,2017,Conservation Biology,10.1111/cobi.12956,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033443266&doi=10.1111%2fcobi.12956&partnerID=40&md5=283cabd4e84e1bfb1c11dacdab09b705,Scopus
"Sparks, T.H., Atkinson, S., Lewthwaite, K., Dhap, R., Moran, N.J., Tryjanowski, P.",Can bird abundance declines be detected by citizen science programmes? A case study using Common Cuckoo Cuculus canorus,2017,Avian Biology Research,10.3184/175815617X15036738758862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034115436&doi=10.3184%2f175815617X15036738758862&partnerID=40&md5=08741dc84c3eaa31c0836c8ffbf5589d,Scopus
"Rowbotham, S., McKinnon, M., Leach, J., Lamberts, R., Hawe, P.",Does citizen science have the capacity to transform population health science?,2017,Critical Public Health,10.1080/09581596.2017.1395393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033688409&doi=10.1080%2f09581596.2017.1395393&partnerID=40&md5=537696049aa7456a19940cbbeee43dff,Scopus
"Massimino, D., Johnston, A., Gillings, S., Jiguet, F., Pearce-Higgins, J.W.",Projected reductions in climatic suitability for vulnerable British birds,2017,Climatic Change,10.1007/s10584-017-2081-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030184927&doi=10.1007%2fs10584-017-2081-2&partnerID=40&md5=5f1b5abe3e1f6aa14adafb9ed1bdbe6a,Scopus
