author,title,year,articleURL,doi
"G Barron, T Henry, G Kindermann",Development of a focussed Integrated Catchment Management toolkit for use in secondary schools,2017,https://www.researchgate.net/profile/Tiernan_Henry/publication/316666325_Development_of_a_focussed_Integrated_Catchment_Management_toolkit_for_use_in_secondary_schools/links/590ae6ef0f7e9b1d0823f847/Development-of-a-focussed-Integrated-Catchment-Management-toolkit-for-use-in-secondary-schools.pdf,NA
R Stevenson,"DICRANUM FUSCESCENS SM., A MOSS NEW TO NORFOLK",1986,http://norfolknaturalists.org.uk/wp/wp-content/uploads/2017/02/Transactions-1986-transactionsofno27norf_page_181-264.pdf#page=56,NA
"H Audusseau, M Le Vaillant, N Janz, S Nylin…",ecological niches of resident butterflies.,2015,https://pdfs.semanticscholar.org/46b8/3ccebcbec70d2b2dddcfe207b3487c498b9a.pdf,NA
"B Pandeya, W Buytaert, Z Zulkafli, T Karpouzoglou…",Ecosystem Services,2016,https://pdfs.semanticscholar.org/f59e/2196386b339bce7057b1992187536a9cd21b.pdf,NA
"N Simboura, M Obst, D Righton, TP Bean…","Edited by: Alberto Basset, University of Salento, Italy Reviewed by",2017,https://www.researchgate.net/profile/Silke_Kroeger/publication/319123029_A_Review_of_the_Tools_Used_for_Marine_Monitoring_in_the_UK_Combining_Historic_and_Contemporary_Methods_with_Modeling_and_Socioeconomics_to_Fulfill_Legislative_Needs_and_Scientific_Ambitions/links/59c8ed56a6fdccc71929c966/A-Review-of-the-Tools-Used-for-Marine-Monitoring-in-the-UK-Combining-Historic-and-Contemporary-Methods-with-Modeling-and-Socioeconomics-to-Fulfill-Legislative-Needs-and-Scientific-Ambitions.pdf,NA
T Kalveram,Ein Beitrag zum Vorkommen des Rauen Straußgrases (Agrostis scabra) im Ruhrgebiet,2016,http://www.botanik-bochum.de/publ/OVBBV8_2_Kalveram_Agrostis_scabra.pdf,NA
"M WEBB, M ÖBERG, M CRISTESCU",Environmental DNA (eDNA) as a next-generation biomonitoring tool,NA,https://www.wsp.com/en-CA/insights/-/media/Insights/Canada/Documents/eDNA_White_Paper_v2-1.pdf,NA
"M Deason, T Doherty, R Kao",Evaluation of bovine tuberculosis surveillance in Jersey and Guernsey,2013,https://pdfs.semanticscholar.org/aaa6/3d0444d456993be2a68d10efdeb400096bcd.pdf,NA
"A Hartry, MS Xiaoxue'Vera'Zhang",Evaluation of FieldScope,2016,http://www.informalscience.org/sites/default/files/FieldScope%20Eval%20Report%20May%202016%20with%20GRI.pdf,NA
C Colucci,Evidence-based evaluation of artificial reptile habitats: A case study on stone structures,2014,http://www.unine.ch/files/live/sites/karch/files/Doc_a_telecharger/Diplomarbeiten/Master_Cristina%20Colucci_2014.pdf,NA
