Google Scholar search results done through Publish or Perish,,,,,,,,,,,,,,,,,,,,,,
"Publish or Perish search terms: all of the words: “citizen science” species “United Kingdom”; none of the words: disease book ""new report"" ""new species"" ""new record""; years: 2014 to 2018",,,,,,,,,,,,,,,,,,,,,,
8 June 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
12,"MJO Pocock, JC Tweddle, J Savage, LD Robinson…",The diversity and evolution of ecological and environmental citizen science,2017,PloS one,journals.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0172579,"https://scholar.google.com/scholar?cites=6496371216368449185&as_sdt=2005&sciodt=0,5&hl=en&num=20",33,2018-06-08,HTML,,,,,,,,12,12,2,5,1
16,"AH Rosemartin, TM Crimmins, CAF Enquist…",Organizing phenological data resources to inform natural resource conservation,2014,Biological …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006320713002334,"https://scholar.google.com/scholar?cites=2996991915072531254&as_sdt=2005&sciodt=0,5&hl=en&num=20",34,2018-06-08,HTML,,,,,,,,16,4,4,4,4
14,"H Goëau, P Bonnet, A Joly, A Affouard, V Bakic…",Pl@ ntnet mobile 2014: Android port and new features,2014,… on multimedia retrieval,dl.acm.org,https://dl.acm.org/citation.cfm?id=2582618,"https://scholar.google.com/scholar?cites=6298312408578771691&as_sdt=2005&sciodt=0,5&hl=en&num=20",35,2018-06-08,,,,,,,,,14,3.5,2,6,4
5,"S Radhakrishna, VV Binoy, A Kurup",The culture of environmental education: insights from a citizen science experiment in India,2014,Current Science,JSTOR,http://www.jstor.org/stable/24103122,"https://scholar.google.com/scholar?cites=6117216432788369448&as_sdt=2005&sciodt=0,5&hl=en&num=20",36,2018-06-08,,,,,,,,,5,1.25,2,3,4
8,"SK Pikesley, BJ Godley, S Ranger…",Cnidaria in UK coastal waters: description of spatio-temporal patterns and inter-annual variability,2014,… of the United Kingdom,cambridge.org,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/cnidaria-in-uk-coastal-waters-description-of-spatiotemporal-patterns-and-interannual-variability/0EC49182BD26A122C940CC97419FB093,"https://scholar.google.com/scholar?cites=9449622845609284581&as_sdt=2005&sciodt=0,5&hl=en&num=20",37,2018-06-08,,,,,,,,,8,2,2,4,4
5,"EB Dennis, BJT Morgan, TM Brereton…",Using citizen science butterfly counts to predict species population trends,2017,Conservation …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12956/full,"https://scholar.google.com/scholar?cites=12966800341573728706&as_sdt=2005&sciodt=0,5&hl=en&num=20",38,2018-06-08,,,,,,,,,5,5,1,4,1
15,"R Jordan, S Gray, A Sorensen, G Newman…",Studying citizen science through adaptive management and learning feedbacks as mechanisms for improving conservation,2016,Conservation …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/cobi.12659,"https://scholar.google.com/scholar?cites=8398423758128712198&as_sdt=2005&sciodt=0,5&hl=en&num=20",39,2018-06-08,,,,,,,,,15,7.5,3,5,2
9,V Curtis,Public engagement through the development of science-based computer games: The Wellcome Trust's “Gamify Your PhD” initiative,2014,Science Communication,journals.sagepub.com,http://journals.sagepub.com/doi/abs/10.1177/1075547013492436,"https://scholar.google.com/scholar?cites=17238109373788951919&as_sdt=2005&sciodt=0,5&hl=en&num=20",40,2018-06-08,,,,,,,,,9,2.25,9,1,4
20,"M Zevin, S Coughlin, S Bahaadini…","Gravity Spy: integrating advanced LIGO detector characterization, machine learning, and citizen science",2017,… and Quantum Gravity,iopscience.iop.org,http://iopscience.iop.org/article/10.1088/1361-6382/aa5cea/meta,"https://scholar.google.com/scholar?cites=11289471326057817993&as_sdt=2005&sciodt=0,5&hl=en&num=20",41,2018-06-08,,,,,,,,,20,20,5,4,1
15,"FM Lauro, SJ Senstius, J Cullen, R Neches…",The common oceanographer: crowdsourcing the collection of oceanographic data,2014,PLoS …,journals.plos.org,http://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001947,"https://scholar.google.com/scholar?cites=8479942764231091581&as_sdt=2005&sciodt=0,5&hl=en&num=20",42,2018-06-08,HTML,,,,,,,,15,3.75,3,5,4
25,"J Pagel, BJ Anderson, RB O'Hara…",Quantifying range‐wide variation in population trends from local abundance surveys and widespread opportunistic occurrence records,2014,Methods in Ecology …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/2041-210X.12221/full,"https://scholar.google.com/scholar?cites=1809620399062100630&as_sdt=2005&sciodt=0,5&hl=en&num=20",43,2018-06-08,HTML,,,,,,,,25,6.25,6,4,4
13,"EH Boakes, G Gliozzo, V Seymour, M Harvey…",Patterns of contribution to citizen science biodiversity projects increase understanding of volunteers' recording behaviour,2016,Scientific reports,nature.com,https://www.nature.com/articles/srep33051,"https://scholar.google.com/scholar?cites=6784850573323946944&as_sdt=2005&sciodt=0,5&hl=en&num=20",44,2018-06-08,HTML,,,,,,,,13,6.5,3,5,2
34,"C Kidd, A Becker, GJ Huffman…","So, How Much of the Earth's Surface Is Covered by Rain Gauges?",2017,Bulletin of the …,journals.ametsoc.org,http://journals.ametsoc.org/doi/abs/10.1175/BAMS-D-14-00283.1,"https://scholar.google.com/scholar?cites=8311563052776532935&as_sdt=2005&sciodt=0,5&hl=en&num=20",45,2018-06-08,,,,,,,,,34,34,9,4,1
25,"JJ Cusack, A Swanson, T Coulson…","Applying a random encounter model to estimate lion density from camera traps in Serengeti National Park, Tanzania",2015,The Journal of …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1002/jwmg.902/full,"https://scholar.google.com/scholar?cites=14518089474780453779&as_sdt=2005&sciodt=0,5&hl=en&num=20",46,2018-06-08,HTML,,,,,,,,25,8.33,6,4,3
268,S Eden,"Public participation in environmental policy: considering scientific, counter-scientific and non-scientific contributions",2016,Public understanding of science,journals.sagepub.com,http://journals.sagepub.com/doi/full/10.1088/0963-6625/5/3/001,"https://scholar.google.com/scholar?cites=3757836984702238479&as_sdt=2005&sciodt=0,5&hl=en&num=20",47,2018-06-08,,,,,,,,,268,134,268,1,2
15,"LI Vilchis, CK Johnson, JR Evenson…",Assessing ecological correlates of marine bird declines to inform marine conservation,2015,Conservation …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12378/full,"https://scholar.google.com/scholar?cites=5517360526449090694&as_sdt=2005&sciodt=0,5&hl=en&num=20",48,2018-06-08,HTML,,,,,,,,15,5,4,4,3
8,"DK Jue, JC Daniels",A successful model for citizen scientist involvement in building a statewide at-risk butterfly database,2015,Journal of Insect Conservation,Springer,https://link.springer.com/article/10.1007/s10841-014-9733-6,"https://scholar.google.com/scholar?cites=3742853809531496543&as_sdt=2005&sciodt=0,5&hl=en&num=20",49,2018-06-08,HTML,,,,,,,,8,2.67,4,2,3
27,"MJO Pocock, SE Newson, IG Henderson…",Developing and enhancing biodiversity monitoring programmes: a collaborative assessment of priorities,2015,Journal of Applied …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12423/full,"https://scholar.google.com/scholar?cites=14504162019574489094&as_sdt=2005&sciodt=0,5&hl=en&num=20",50,2018-06-08,HTML,,,,,,,,27,9,7,4,3
28,"DTC Cox, KJ Gaston",Likeability of garden birds: Importance of species knowledge & richness in connecting people to nature,2015,PLoS One,journals.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0141505,"https://scholar.google.com/scholar?cites=5063389423808635434&as_sdt=2005&sciodt=0,5&hl=en&num=20",51,2018-06-08,HTML,,,,,,,,28,9.33,14,2,3
38,"KE Plummer, GM Siriwardena, GJ Conway…",Is supplementary feeding in gardens a driver of evolutionary change in a migratory bird species?,2015,Global change …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/gcb.13070/full,"https://scholar.google.com/scholar?cites=10136906434869358882&as_sdt=2005&sciodt=0,5&hl=en&num=20",52,2018-06-08,,,,,,,,,38,12.67,10,4,3
12,"SK Chase, A Levine",A framework for evaluating and designing citizen science programs for natural resources monitoring,2016,Conservation Biology,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/cobi.12697/full,"https://scholar.google.com/scholar?cites=14387703422548171422&as_sdt=2005&sciodt=0,5&hl=en&num=20",53,2018-06-08,,,,,,,,,12,6,6,2,2
